Legislation Number,URL,Congress,Bill Text Type,Bill Text Type Code,Latest Title,HTML Url,PDF Url
H.R. 8900,https://www.congress.gov,116,Public Law,PL,"Further Continuing Appropriations Act, 2021, and Other Extensions Act",,https://www.congress.gov/116/plaws/publ215/PLAW-116publ215.pdf
H.R. 8472,https://www.congress.gov,116,Public Law,PL,Impact Aid Coronavirus Relief Act,,https://www.congress.gov/116/plaws/publ211/PLAW-116publ211.pdf
H.R. 8337,https://www.congress.gov,116,Public Law,PL,"Continuing Appropriations Act, 2021 and Other Extensions Act",,https://www.congress.gov/116/plaws/publ159/PLAW-116publ159.pdf
H.R. 8276,https://www.congress.gov,116,Public Law,PL,To authorize the President to posthumously award the Medal of Honor to Alwyn C. Cashe for acts of valor during Operation Iraqi Freedom.,,https://www.congress.gov/116/plaws/publ210/PLAW-116publ210.pdf
H.R. 8247,https://www.congress.gov,116,Public Law,PL,Veterans COMPACT Act of 2020,,https://www.congress.gov
H.R. 7440,https://www.congress.gov,116,Public Law,PL,Hong Kong Autonomy Act,,https://www.congress.gov/116/plaws/publ149/PLAW-116publ149.pdf
H.R. 7010,https://www.congress.gov,116,Public Law,PL,Paycheck Protection Program Flexibility Act of 2020,,https://www.congress.gov/116/plaws/publ142/PLAW-116publ142.pdf
H.R. 6322,https://www.congress.gov,116,Public Law,PL,Student Veteran Coronavirus Response Act of 2020,,https://www.congress.gov/116/plaws/publ140/PLAW-116publ140.pdf
H.R. 6201,https://www.congress.gov,116,Public Law,PL,Families First Coronavirus Response Act,,https://www.congress.gov/116/plaws/publ127/PLAW-116publ127.pdf
H.R. 6168,https://www.congress.gov,116,Public Law,PL,Veterans' Compensation Cost-of-Living Adjustment Act of 2020,,https://www.congress.gov/116/plaws/publ178/PLAW-116publ178.pdf
H.R. 6074,https://www.congress.gov,116,Public Law,PL,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",,https://www.congress.gov/116/plaws/publ123/PLAW-116publ123.pdf
